userID,gender,age,city,chestSize,hipSize,footSize,lat,long,email,password
0,F,25,Mumbai,40,38,5,19.07609,72.877426,dummy1@example.com,password1
1,M,30,Mumbai,42,36,7,19.07609,72.877426,dummy2@example.com,password2
2,M,33,Bangalore,40,34,7,12.9789,77.5917,dummy3@example.com,password3
3,M,22,Bangalore,40,36,8,12.9789,77.5917,dummy4@example.com,password4
4,F,33,Bangalore,38,38,4,12.9789,77.5917,dummy5@example.com,password5
5,F,40,Chennai,36,32,4,18.5203,73.8567,dummy6@example.com,password6
6,F,20,Delhi,34,36,6,28.679079,77.06971,dummy7@example.com,password7
7,M,46,Delhi,36,32,6,28.679079,77.06971,dummy8@example.com,password8
8,M,50,Kolkata,42,38,7,22.5675,88.37,dummy9@example.com,password9
9,F,44,Pune,34,38,8,18.5203,73.8567,dummy10@example.com,password10
10,F,21,Kolkata,40,36,5,22.5675,88.37,dummy11@example.com,password11
11,F,35,Chennai,38,34,3,13.0825,80.275,dummy12@example.com,password12
12,M,21,Bangalore,42,38,7,12.9789,77.5917,dummy13@example.com,password13
13,F,28,Delhi,40,38,6,28.679079,77.06971,dummy14@example.com,password14
14,M,41,Pune,38,34,8,18.5203,73.8567,dummy15@example.com,password15
15,F,30,Kolkata,40,34,4,22.5675,88.37,dummy16@example.com,password16
16,M,28,Mumbai,44,40,8,19.07609,72.877426,dummy17@example.com,password17
17,F,26,Kolkata,34,32,4,22.5675,88.37,dummy18@example.com,password18
18,F,24,Pune,38,32,5,18.5203,73.8567,dummy19@example.com,password19
19,M,27,Bangalore,40,32,8,12.9789,77.5917,dummy20@example.com,password20
20,M,30,Mumbai,38,34,7,19.07609,72.877426,dummy21@example.com,password21
21,F,32,Mumbai,36,38,4,19.07609,72.877426,dummy22@example.com,password22
22,F,28,Delhi,40,36,3,28.679079,77.06971,dummy23@example.com,password23
23,M,25,Kolkata,42,40,9,22.5675,88.37,dummy24@example.com,password24
24,F,23,Bangalore,36,42,5,12.9789,77.5917,dummy25@example.com,password25
25,M,31,Chennai,34,36,7,13.0825,80.275,dummy26@example.com,password26
26,M,29,Delhi,36,34,6,28.679079,77.06971,dummy27@example.com,password27
27,F,26,Pune,38,36,4,18.5203,73.8567,dummy28@example.com,password28
28,F,27,Mumbai,34,40,5,19.07609,72.877426,dummy29@example.com,password29
29,M,35,Kolkata,44,38,7,22.5675,88.37,dummy30@example.com,password30
30,M,32,Mumbai,42,36,9,19.07609,72.877426,dummy31@example.com,password31
31,F,31,Kolkata,40,44,6,22.5675,88.37,dummy32@example.com,password32
32,F,29,Delhi,38,32,3,28.679079,77.06971,dummy33@example.com,password33
33,F,30,Chennai,36,36,3,13.0825,80.275,dummy34@example.com,password34
34,M,28,Bangalore,40,38,8,12.9789,77.5917,dummy35@example.com,password35
35,F,29,Pune,34,32,6,18.5203,73.8567,dummy36@example.com,password36
36,F,27,Mumbai,38,40,4,19.07609,72.877426,dummy37@example.com,password37
37,M,24,Kolkata,44,42,9,22.5675,88.37,dummy38@example.com,password38
38,M,26,Delhi,42,32,7,28.679079,77.06971,dummy39@example.com,password39
39,F,28,Pune,36,44,5,18.5203,73.8567,dummy40@example.com,password40
40,F,25,Bangalore,34,36,5,12.9789,77.5917,dummy41@example.com,password41
41,M,30,Chennai,40,38,8,13.0825,80.275,dummy42@example.com,password42
42,M,33,Mumbai,38,34,9,19.07609,72.877426,dummy43@example.com,password43
43,F,22,Kolkata,36,38,3,22.5675,88.37,dummy44@example.com,password44
44,M,33,Delhi,44,40,7,28.679079,77.06971,dummy45@example.com,password45
45,M,20,Pune,42,36,7,18.5203,73.8567,dummy46@example.com,password46
46,F,46,Chennai,40,34,4,13.0825,80.275,dummy47@example.com,password47
47,F,50,Delhi,38,38,6,28.679079,77.06971,dummy48@example.com,password48
48,F,44,Kolkata,36,32,4,22.5675,88.37,dummy49@example.com,password49
49,F,21,Pune,34,38,4,18.5203,73.8567,dummy50@example.com,password50
